game_id,game_name,platform_id,genre_id,release_date,store_id,play_status,game_length,franchise_id,rating
1,Amnesia: The Dark Descent,1,8,8/9/2010,8,1,10,,
2,Anno: 1404 History Edition,1,3,6/25/2020,9,1,,1,
3,Arcanum: Of Steamworks and Magic,1,27,8/22/2001,4,1,60,,
4,Ark: Survival Evolved,1,23,8/27/2017,3,1,100,,
5,Assassin's Creed II,1,2,9/3/2010,8,1,25,3,
6,Assassin's Creed: Director's Cut,1,2,9/4/2008,4,1,40,3,
7,Assassin's Creed: Origins Gold Edition,1,2,10/26/2017,3,1,80,3,
8,Assassin's Creed: Unity,1,2,11/11/2014,9,1,25,3,
9,Baldur's Gate Enhanced Edition,1,27,11/28/2012,4,1,50,4,
10,Baldur's Gate II Enhanced Edition,1,27,11/15/2013,4,1,75,4,
11,Banished,1,3,9/18/2014,4,1,,,
12,Batman: Arkham Asylum,1,2,8/23/2009,8,2,20,2,82
13,Batman: Arkham City,1,2,10/18/2011,8,2,32,2,85
14,Batman: Arkham Knight,1,2,6/23/2015,8,1,30,2,
15,Batman: Arkham Origins,1,2,10/25/2013,8,2,25,2,75
16,Bioshock,1,6,8/21/2007,8,2,15,5,80
17,Bioshock 2,1,6,9/2/2010,3,1,15,5,
18,Bioshock Infinite,1,6,3/26/2013,4,1,15,5,
19,Borderlands 2,1,6,9/18/2012,3,1,50,6,
20,Borderlands 3,1,6,9/13/2019,3,1,50,6,
21,Borderlands: The Pre-Sequel,1,6,10/14/2014,3,1,50,6,
22,Braid,1,16,8/6/2008,8,2,15,,90
23,Brothers: A Tale of Two Sons,1,15,7/8/2013,8,2,5,,95
24,Call of Juarez: Gunslinger,1,2,5/22/2013,4,1,10,,
25,Chained Echoes,3,10,9/14/2022,,5,50,,
26,Chivalry 2,1,1,8/6/2021,3,1,,,
27,Citizen Sleeper,1,25,5/5/2022,4,1,15,,
28,Civilization V,1,1,9/21/2010,8,6,,7,88
29,Civilization VI,1,1,10/21/2016,3,1,,7,
30,Close to the Sun,1,8,2/5/2019,4,1,5,,
31,Control: Ultimate Edition,1,2,9/10/2020,4,1,20,,
32,Counter Strike: Global Offensive,1,6,8/21/2012,8,3,,,
33,Crusader Kings II,1,1,2/14/2012,4,1,,,
34,Cyberpunk 2077,1,27,10/12/2020,4,1,150,,
35,Dead Cells,1,19,7/8/2018,3,4,,,90
36,Dead Space,1,8,1/27/2023,8,2,13,8,80
37,Dead Space 2,1,8,1/21/2011,8,1,10,8,
38,Death Stranding,1,2,7/14/2020,3,1,45,,
39,Desperados III: Digital Deluxe Edition,1,9,6/16/2020,4,1,40,,
40,Deus Ex: Human Revolution,1,27,8/23/2011,8,2,40,9,85
41,Deus Ex: Mankind Divided: Digital Deluxe Edition,1,27,2/23/2016,4,1,35,9,
42,Dishonored Definitive Edition,1,2,8/13/2015,4,1,16,10,
43,Dishonored II,1,2,11/11/2016,4,1,16,10,
44,Dishonored: Death of the Outsider,1,2,9/15/2017,3,1,10,10,
45,Divinity Original Sin - Enhanced Edition,1,27,7/22/2014,4,1,80,11,
